iter	Passed	Remaining
449	1130	1382
450	1132	1378
451	1134	1375
452	1135	1371
453	1137	1368
454	1142	1368
455	1146	1367
456	1147	1363
457	1167	1381
458	1168	1377
459	1170	1373
460	1174	1373
461	1175	1369
462	1177	1365
463	1179	1362
464	1180	1358
465	1182	1354
466	1185	1352
467	1187	1349
468	1188	1345
469	1190	1342
470	1191	1338
471	1192	1334
472	1194	1330
473	1196	1327
474	1197	1323
475	1200	1322
476	1202	1318
477	1204	1314
478	1205	1311
479	1206	1307
480	1207	1303
481	1212	1302
482	1214	1299
483	1215	1296
484	1217	1292
485	1218	1288
486	1219	1284
487	1221	1281
488	1222	1277
489	1226	1276
490	1230	1275
491	1231	1271
492	1232	1267
493	1234	1264
494	1235	1260
495	1236	1256
496	1254	1269
497	1255	1265
498	1258	1263
499	1260	1260
500	1262	1257
501	1263	1253
502	1264	1249
503	1266	1246
504	1267	1242
505	1269	1239
506	1270	1235
507	1273	1233
508	1274	1229
509	1276	1226
510	1277	1222
511	1279	1219
512	1280	1215
513	1281	1211
514	1283	1208
515	1285	1205
516	1300	1214
517	1301	1211
518	1306	1210
519	1313	1212
520	1315	1209
521	1318	1206
522	1322	1205
523	1327	1206
524	1329	1202
525	1331	1200
526	1333	1196
527	1338	1196
528	1339	1192
529	1341	1189
530	1342	1185
531	1344	1182
532	1345	1178
533	1346	1175
534	1360	1182
535	1362	1179
536	1364	1176
537	1368	1175
538	1370	1171
539	1377	1173
540	1380	1171
541	1381	1167
542	1383	1164
543	1384	1160
544	1386	1157
545	1392	1158
546	1394	1154
547	1396	1151
548	1398	1148
549	1401	1146
550	1402	1142
551	1406	1141
552	1408	1138
553	1409	1135
554	1411	1131
555	1413	1128
556	1416	1126
557	1422	1126
558	1424	1123
559	1426	1120
560	1428	1117
561	1429	1114
562	1430	1110
563	1434	1108
564	1438	1107
565	1440	1104
566	1442	1101
567	1444	1098
568	1445	1095
569	1447	1091
570	1452	1091
571	1454	1088
572	1455	1084
573	1457	1081
574	1458	1078
575	1459	1074
576	1460	1071
577	1462	1067
578	1467	1067
579	1469	1064
580	1471	1061
581	1473	1057
582	1474	1054
583	1476	1051
584	1478	1048
585	1483	1047
586	1484	1044
587	1486	1041
588	1487	1038
589	1488	1034
590	1490	1031
591	1492	1028
592	1493	1025
593	1496	1023
594	1498	1020
595	1500	1017
596	1501	1013
597	1503	1010
598	1504	1007
599	1513	1008
600	1514	1005
601	1515	1002
602	1517	998
603	1518	995
604	1519	992
605	1520	988
606	1527	989
607	1530	986
608	1531	983
609	1533	980
610	1534	977
611	1536	973
612	1543	974
613	1545	971
614	1546	968
615	1548	965
616	1550	962
617	1551	959
618	1560	960
619	1561	957
620	1563	954
621	1565	951
622	1566	948
623	1568	944
624	1573	944
625	1575	941
626	1576	937
627	1577	934
628	1579	931
629	1580	928
630	1582	925
631	1584	922
632	1585	919
633	1587	916
634	1589	913
635	1590	910
636	1591	907
637	1593	903
638	1594	900
639	1596	897
640	1601	896
641	1603	894
642	1604	890
643	1606	888
644	1608	885
645	1609	882
646	1610	878
647	1619	879
648	1621	876
649	1622	873
650	1624	870
651	1625	867
652	1626	864
653	1631	862
654	1632	860
655	1634	857
656	1636	854
657	1637	851
658	1639	848
659	1640	844
660	1641	841
661	1647	840
662	1648	838
663	1650	835
664	1651	832
665	1653	829
666	1654	826
667	1656	823
668	1658	820
669	1663	819
670	1664	816
671	1665	813
672	1667	810
673	1669	807
674	1670	804
675	1675	803
676	1677	800
677	1678	797
678	1680	794
679	1681	791
680	1683	788
681	1684	785
682	1685	782
683	1687	779
684	1692	778
685	1694	775
686	1696	772
687	1698	770
688	1700	767
689	1701	764
690	1703	761
691	1713	762
692	1714	759
693	1716	756
694	1718	753
695	1719	751
696	1723	749
697	1727	747
698	1730	744
699	1738	744
700	1740	742
701	1742	739
702	1743	736
703	1744	733
704	1746	730
705	1748	727
706	1756	728
707	1758	725
708	1759	722
709	1761	719
710	1763	716
711	1770	716
712	1773	713
713	1774	710
714	1776	708
715	1778	705
716	1779	702
717	1782	700
718	1798	702
719	1800	700
720	1813	701
721	1815	699
722	1817	696
723	1827	696
724	1830	694
725	1832	691
726	1833	688
727	1848	690
728	1859	691
729	1861	688
730	1864	685
731	1865	682
732	1875	682
733	1876	680
734	1877	677
735	1879	674
736	1881	671
737	1892	671
738	1893	668
739	1895	665
740	1897	663
741	1908	663
742	1911	661
743	1912	658
744	1919	657
745	1922	654
746	1924	651
747	1926	648
748	1928	646
749	1929	643
750	1937	642
751	1939	639
752	1941	636
753	1942	633
754	1953	633
755	1955	631
756	1957	628
757	1958	625
758	1969	625
759	1972	622
760	1975	620
761	1983	619
762	1985	616
763	1986	613
764	1988	610
765	1989	607
766	1998	607
767	2000	604
768	2001	601
769	2002	598
770	2006	596
771	2013	594
772	2015	591
773	2017	589
774	2018	586
775	2020	583
776	2021	580
777	2022	577
778	2028	575
779	2030	572
780	2031	569
781	2033	566
782	2034	563
783	2036	560
784	2037	558
785	2043	556
786	2045	553
787	2046	550
788	2048	547
789	2049	544
790	2051	542
791	2053	539
792	2054	536
793	2059	534
794	2061	531
795	2062	528
796	2064	525
797	2065	522
798	2067	520
799	2068	517
800	2069	514
801	2075	512
802	2077	509
803	2078	506
804	2080	503
805	2081	501
806	2083	498
807	2084	495
808	2088	493
809	2091	490
810	2093	487
811	2094	484
812	2096	482
813	2097	479
814	2101	477
815	2104	474
816	2106	471
817	2107	468
818	2109	466
819	2111	463
820	2112	460
821	2119	458
822	2121	456
823	2122	453
824	2124	450
825	2126	447
826	2127	445
827	2129	442
828	2135	440
829	2136	437
830	2138	434
831	2139	432
832	2141	429
833	2143	426
834	2151	425
835	2152	422
836	2154	419
837	2156	416
838	2157	414
839	2159	411
840	2162	408
841	2164	406
842	2166	403
843	2168	400
844	2170	398
845	2171	395
846	2178	393
847	2180	390
848	2182	388
849	2183	385
850	2184	382
851	2193	380
852	2194	378
853	2196	375
854	2198	372
855	2199	370
856	2200	367
857	2211	365
858	2212	363
859	2214	360
860	2217	358
861	2223	355
862	2224	353
863	2227	350
864	2233	348
865	2234	345
866	2239	343
867	2240	340
868	2242	338
869	2245	335
870	2247	332
871	2248	330
872	2250	327
873	2256	325
874	2257	322
875	2259	319
876	2260	317
877	2261	314
878	2263	311
879	2264	308
880	2271	306
881	2274	304
882	2276	301
883	2277	298
884	2278	296
885	2279	293
886	2281	290
887	2287	288
888	2291	286
889	2293	283
890	2294	280
891	2296	278
892	2304	276
893	2305	273
894	2307	270
895	2308	267
896	2310	265
897	2311	262
